author,author_id,comment
Slowly But Surely,ummah0104,MEREKA JUGA PUNYA KELUARGA GUYS😭😭
rainhartdanade,rainhartdanade,"papa aku brimob kak , dan aku tau rasanya dia pulang capek capek utk amanin itu semua dan aku jg tau rasa khawatir papa aku kenapa napa nanti disana , aku cmn utarakan perasaanku 🥹🫂"
Apriliaaa,_turus5,"betul skali kk
dari beribu ribu pendemo psti ad keluarga mereka jg, dn mereka tdk pilihan selain mnjalankan tugas
jdi tolong jngn benci mereka"
wnap207,wnap207,"manteman.. bukan membela polisi/brimob. ayah dan adik saya jg anggota. inget banget adek saya cerita pas jaga demo gini makan aja susah, kdnh 1 box bisa buat rame2 sama temennya. blm lagi mata perih badan pd bonyok. tp gak ada yg ekspos klo mereka kenapa2. betul ojol MD krna kelalaian anggota, tp percayalah banyak anggota yg MD krna kemurkaan aksi sprti ini."
l00wjes,l00wjes,cowo ku aja post ulang ttg sakitnya dpr naik gaji guys mereka jg cape cmn kehalang tugas karna mereka cmn manut sm negara
ranti zia,ranti.zia4,"tpi sedih kemarin liatt yang demo d pukulin, di seret, d tonjok sama polisi🥺"
elmanuk_:},perdanaahh,kebanyakan yg komen keluarga polisi😂
sas 𐙚,16.7744,"sebenernya, mereka kasian bgt, mereka tu robot pemerintah, mereka cuma lagi tugas"
ayyoffside,lillbitjh,"pada dasarnya mereka pun juga rakyat yang sama seperti kita, hanya saja mereka terhalang karena pekerjaannya & netral 🙏🏼"
no name 2,noname.ke_2,kalok temen ngapain ngehalangin😂
putri_r_seza,sezaputrirahayu,mereka hanya menjalankan tugas saja 🥺🥺🥺
evii🌷,eviiiy_,teman kok mukulin kak🤭
pocongngaso,pocongngaso,bukan hanya ojol loh guys yang meninggal sebelumnya ada komandan yang meninggal bukalah mata kalian jangan hakimi polri terus pengen nangis liatnya kalian hakimi mereka terus😭coba kalau kalian diposisi mereka atau keluarga kalian salah satu dari mereka apa nggak sakit aku cuma masyarakat biasa cuman sakit rasanya kalian benci polri😭
Aku sayang aku,shxxseumby131,"Mantan aku prnh bilang, dia kalo pam kayak begini tuh hatinya dilema🥺 mereka tuh terhalang pekerjaannya"
ay٭,welcomebacktohomeayyy,lebaran saja tidak bisa bersama karena harus menjalan kan tugasnya.
~D.apry~,me.d.apry_,"gais plis gak semua polisi itu buruk,abang gw pernah ikut terjun kelapangan jaga demo dia rela tidur di pinggir jalanan bahkan dia rela gak makan dan ngasih makananya ke beberapa pendemo, kita keluarga yang nunggu di rumah pada hawatir banget sama abang yang lagi jaga demo waktu itu🥹..rasanya cemas karna tau beberapa orang benci sama polisi.🙏"
minhyng,syafa_dira,teman kita ceunah 🤭
Winda,winda26071,asal kn mereka gak pake senjata dan gas air mata
meylindaaputriii_,memeiiyyy_,"pls untuk kakak kakak yg demo jgn ngelukain polisi ya,klo pun mereka harus membuat suasana kondusif itu pasti krena mreka menjalankan tugas nya. polisi juga punya anak dan istri yg menanti mreka pulang kerumah dengan selamat kak🥺"
ᵥₐ,evnit4,"suka kasian bgt liat para polisi yg bener' di serang seakan' mereka membela kesalahan pdhl merekapun tidak membenarkan hal tsb, mereka hanya menjalankan tugas ny sesuai perintah kalaupun tdk di perintahkan mereka pasti ikut gabung sm kita semuaa untuk demo. so, gais pls tau batasan mereka punya keluarga yg nunggu mereka pulang keruma dgn selamat, sehat. sama kaya kita semua kok, tolong respect 🥺🥺"
D I N A R🧿🪬,.kitiingg_,"cba kluarga mu di posisi mreka jd polisi klo di kata""in ternak dpr gmn perasaan mu? mreka loh jg pnya kluarga menafkahi mreka gajinya jg ga gede, klo mreka ada di posisi klian mreka jg ikut demo tp mreka hnya terhalang seragam ga smua polisi pembunuh itu tergantung dari diri sendiri"
❦,vapx.crs,"ini ni, yg otaknya cuma setengah"
icebrewly,icebrewly,bnr ka
Maharani Rizkia.R,maharanirizkiaram1,oon
🕸,roda_kompas,"kak,oknum polisi tu emg banyak yg ga bener,tp ayah,abang aku kerja pagi pulang pagi,penjagaan dan kerja dg bener polisi dipaksa tunduk ke pemerintahan yg biadap,tolong, fokus ke dpr,turunin,makzulin presiden!!😞 ayah abng aku juga dukung kok demo ini,THIS GOVERNMENT BUDAKIN MEREKA"
Mochiivanilaa,analynnn3267,"yg salah beberapa, kenapa semuanya yg kenak
kasian yg punya keluarga anggota polisi kena imbasnya😂"
zgraalm,zhrssea,"yang dari pihak demo juga dibilang oknum kak, tapi kalau dikumpulin bisa seprovinsi
emng kita tu di adu domba sama provokator, tu dpr yg musuh utama kita masih hidup enak²an diluar negeri."
Pita.ೃ࿐,soovt,Guys semua orang dalam pekerjaan itu diharuskan profesional. Mereka punya caranya sendiri untuk menyuarakan sama seperti kita.
Ucii🐼,uci16360,peduli pun tak sudi🗿
h3eart_azars,h3eart_azars,Aku bisa merasakan rasa nya jadi pak polisi polisi itu karna papa aku polisi dan aku kasian pergi pagi pulang pagi sekarang aku lagi jauh sama papa akuu aku sering kayak merasa kehilangan gitu kayak sepii gaada papa tapi semangat buat papa aku yaa
Erwia,erwia.erwia,Polisi diadu dg Rakyat😭😭💔💔 DPR nya Hidup mewah berlimpah²😭 RIP Demokrasi di NKRI🇮🇩💔
Kikiii,koyki8,papaku anggota:’) dia cuma dituntut kerjaan dan dalam hatinya dilema🥺
..,jsksjxsnnskw,lah terus kenapa pendemonya kena tangkap dan ada yg kena mukul?
Eva'p,vanillalatte917,"mereka itu cuma menjalankan tugas, dan ada anak istrinya yang menunggu dirumah. tolong hargai mereka☺️kalian gatau cemasnya ngeliat mereka turun kejalan utk ngamanin dan mastikan semuanya baik2 aja☺️"
julee29,mandalajaya29,"guys ngga semua polisi itu tidak baik. Mereka punya keluarga yang menunggu dirumah
Mereka sama seperti kita bedanya mereka berseragam dan sedang menjalankan tugasnya 🥺"
Suntak Shop,rahmi96htg,"ga kak, udah ga mau berteman sama polisi kak 🙏"
ridwanndyt,wanabee.cathouse,yg lindes td gimana?mobil brimob tuh beda sm mobil2 pd umumnya gakebayang beratnya gmnaa😭😭😭
caca,unkn0www_0,temen kak? temen kaka ajaa aku sih gamau pnya temen yng ngelindes rakyat untuk bersuara demi keadilan
RAHFICA AGUSTIN𐙚,rahficaa,mereka bekerja untuk rakyat. mereka juga sama hanya rakyat biasa yg membayar pajak ke negara
shafamanuela,shafaanii_0,pacarku polisi tpi dlm hati terdalam dia juga pengen ikutan demo dia juga geram sama ni pemerintah tpi apala dayaa mereka terhalang pekerjaann
r o s e m a r y,anthophile25,"Maaf , kita ga saling kenal gimana mau jadi temen🙏🏻"
chane✌🏻,chanlucupakebanget,apa salahnya sih tinggal buka jalan
aries ♈,lutfia_16,lalu bagaimana adik saya yang hilang sampai sekarang belom di proses dan mau cek cctv pun GK di perbolehkan
telo godog,galengan.sawahh,"gaji gak seberapa daripada yang duduk* doang di DPR, tuntutan & resiko kerja gak kira*, semangat pak polisi."
Aw✨,wanitamanise,"kalo teman kita seharusnya merangkul rakyat, bela rakyat!!! bukannya menjatuhkan."
gtw.siapacuy,manusia.gabutzz,"Coba aja kalo polisi gak ngedukung DPR, pasti dunia ini lngsung tentram dan damai,
tapi uang mengubah semuanya"
dew,tuudewiii8,iya tau mereka jg sebenarnya pgn ikut demo kaya kita tp keinget kejadian ojol yg dilindes ya tuhan sakit bgt rasanya
sophie🌸,sophathermes,"guys gini, polisi anarkis emg sangat salah cuman komunikasi antara polisi & otoriter itu sifatnya top to down, which is mereka pasif sifatnya dalam komunikasi itu, that’s make mereka nurut apa kata otoriter"
Arista Meiwa,aristaneiw,"ini ulah DPR!!!!!
bisa-bisanya senang2 dgn kondisi rakyatnya menderita!!!"
gitaa🌷,aanggiiita,kata siapa kak itu polisi yg ngelukain jg
Aoda,mbohloh0,kalau polisi yg mukulin masyarakat yg boleh ya? 🤣🤣🤣
Yoonki,pulihsndri,"mereka terlaku anarkis dn itu termasuk tindakan kekerasan
bnyk anak2 stm yg dipukulin diseret njirr udh Kya melakukan kesalahan yg korupsi aja ga prnh tuh diperlakukan kegitu"
zxxx✿,ttobokkieee,tapi ko polisinya mkul dan lndes pndemo ? barangkali yg dipukoll dan dilnd3s juga ditungguin sm anak istrinya
Mahalini,mahalini089,ani ani nya
tita,t.titaaa__,cowoknya polisi ya mbak?wkwk
Aoda,mbohloh0,pantes ngebela lakinya bagian dari insatansi😅
angga,riski321saputra,kalau polisi yg mukulin masyarakat yg boleh ya? 🤣🤣🤣
