author,author_id,comment
Evan Soundrenaline,evan_soundrenaline,"baru kali ini sepanjang sejarah setiap ada demo,Presiden tidak memberi tanggapan apapun seakan-akan tidak tau dan tidak mau tau."
Lauraa,heii_laura,pdhal mereka di gaji dari uang rakyat !! tp mala bela tikus negara😐
deazi gilan,desideaziana,yg smpe guling2 kasian 😭😭😭
Prraadaaa,_wildun,beraninya pake senjata polisi anjjj
Cak Daus Aja,diinulhaq_354,"pas demo kaya gini kira kira para pejabat dimana ,ngapain ?"
B603ANIZ,b603aniz,Prabowo diem aja bela pendemo aja enggak mana gagasan nyaa
🔥Sandhyka🔥,sandy060196,"intinya gk ush bayar pajak ketar ketir mereka
uang gaji dri pajak"
HANYALIRIK,hanyaliriik,"seriusan nanya, emang polisi gak di ajarin ya cara ngehalau masa demo kayak di luar negeri? kayaknya di luar gak gini gini amat dah."
ottohalu,ottohalu,"Akun2 live demo,.banyak di blokir...tetap solid.
Rakyat di bungkam, akan semakin berteriak"
Anggraliya,anggraliya,"Ya Allah..itu aparat kenapa menyakiti rakyat, bukannya kalian harusnya melindungi rakyat. Rakyat hanya menuntut keadilan di negerinya sendiri."
Tupac   Bokur,brooodippp,"demo yg paling berpengaruh ialah,
1: Boikot pajak apapun
2: boikot pemilu apapun
3: tarik semua uang di bank
coba mulai dari sekarang"
Bolokokok,bolokokok19,klo ada pemilihan lgi serentak kita golput jgn ada yg milih
Olive Oil,olvi_oktavia,skrg akun Gerindra ga pernah muncul lg yaa
K',marryjanee666,"Gmna gak rusuh , org dpr gada yg keluar 1 pun"
shwqy31,me.laamaria,barusan lewat VT mbak2 yg mgkn kerja di DPR. katanya dari dalem gak kedengeran apa2 padahal lagi ada demo di luar. walopun kalian pake toa juga tetep gak kedengeran🥺🥺🥺
folkloretive,folkloretive_,"kan ricuhh pasti banyak fasilitas umum yang rusak, blum transum sama ojol susah dpetnya. ujung2nya rakyat lain yg kesusahan. wakilin rakyat mana deh:("
abangda,abangdasitorus,"knpa demo ini tidak diberitakan di tv nasional
di tiktok/FB ,tidak pemberitaan, apakah dilarang ?"
bojomubekasku,ngapain_ngintip_gw,SEKETIKA METRO TV (NASDEM) TVONE (GOLKAR) PURA-PURA MEREM GA MELIPUT DEMO DPR 🤣🤣
Ian,dxchudson,semakin sering demo berarti semakin borbok negara ini
Atharya Ranendra Cobain,mr.x69718,Presiden diem diem bae seakan akan tak terjadi apa apa😅
Evan Soundrenaline,evan_soundrenaline,"kalau gitu mending mencalonkan jadi DPR ya , gak perlu ada Presiden harusnya 😁"
jajsnne,whshsiwh6,sekolah
F,firmnn_1st,"Dulu pas gusdur rakyat lengserkan beliau,sekarang nyesel kan akibatnya,gusdur mau bubarkan dpr"
acong,akusucufl7g,"iya bner, gusdur mau bubarin pada jdi pengecut gk ada yg bela"
xuanthang,xunthngjr,Opp
