author,author_id,comment
Evan Soundrenaline,evan_soundrenaline,"baru kali ini sepanjang sejarah setiap ada demo,Presiden tidak memberi tanggapan apapun seakan-akan tidak tau dan tidak mau tau."
EL DA,elya.aida,"STOP jangan demo lagi demi keselamatan kalian,
cukup kita berhenti bayar pajak + jangan datang ke pemilu sampai kapanpun,"
deazi gilan,desideaziana,yg smpe guling2 kasian 😭😭😭
Lauraa,heii_laura,pdhal mereka di gaji dari uang rakyat !! tp mala bela tikus negara😐
Scorpio💫,calmejholdy,Brimob
Prraadaaa,_wildun,beraninya pake senjata polisi anjjj
salatraxx,dillsalatraxx,DPR kerja mati matian demi kalian.. ini balasan kalian untuk mereka? 🥺🥺
Cak Daus Aja,diinulhaq_354,"pas demo kaya gini kira kira para pejabat dimana ,ngapain ?"
B603ANIZ,b603aniz,Prabowo diem aja bela pendemo aja enggak mana gagasan nyaa
Ian,dxchudson,semakin sering demo berarti semakin borbok negara ini
Olive Oil,olvi_oktavia,skrg akun Gerindra ga pernah muncul lg yaa
🔥Sandhyka🔥,sandy060196,"intinya gk ush bayar pajak ketar ketir mereka
uang gaji dri pajak"
K',marryjanee666,"Gmna gak rusuh , org dpr gada yg keluar 1 pun"
ottohalu,ottohalu,"Akun2 live demo,.banyak di blokir...tetap solid.
Rakyat di bungkam, akan semakin berteriak"
Bolokokok,bolokokok19,klo ada pemilihan lgi serentak kita golput jgn ada yg milih
Tupac   Bokur,brooodippp,"demo yg paling berpengaruh ialah,
1: Boikot pajak apapun
2: boikot pemilu apapun
3: tarik semua uang di bank
coba mulai dari sekarang"
arfita753,arfita753,"Pake helm,pake kacamata,pake masker,pake jas hujan."
HANYALIRIK,hanyaliriik,"seriusan nanya, emang polisi gak di ajarin ya cara ngehalau masa demo kayak di luar negeri? kayaknya di luar gak gini gini amat dah."
Atharya Ranendra Cobain,mr.x69718,Presiden diem diem bae seakan akan tak terjadi apa apa😅
F,firmnn_1st,"Dulu pas gusdur rakyat lengserkan beliau,sekarang nyesel kan akibatnya,gusdur mau bubarkan dpr"
acong,akusucufl7g,"iya bner, gusdur mau bubarin pada jdi pengecut gk ada yg bela"
jajsnne,whshsiwh6,sekolah
iLam | watch stranger things 5,_just.a_stranger,"faktanya sprti itu, di indo justru pemimpin utamanya malah DPR MPR bkn Presiden itu sndiri."
rrrrrrrreeeeee,rrrrrrrreeeeee,Lu yg sekolah
taipeii🇰🇷🇮🇩,yygtaipei_,tamatan apa kak klo bole tau?
Eko Purtjahjanto,ekopurtjahjanto,bukan DPR bro... para penguasa tertinggi para ketum partai
Msan,msan381,lah presiden nya kan jg ketua partai🗿🗿🗿
EVOS•RAWRR,evos.rawrr0,"kan Wowo juga ketum partai,di DPR juga koalisinya 80% lebih ."
Eko Purtjahjanto,ekopurtjahjanto,ini pasti saudara yohanes... mirip mirip 😁😁
annette,nitabukanyaa,"dia bilang “tanggapan” atleast “TANGGAPAN” lagian dia kan emg gamau tau wkwkw, orang lagi ngasih penghormatan ke si bahlil"
fbrianakaolsld,fbrianakaolsld,Indonesia sistem pemerintahan presidensial presiden sebagai kepala negara dan menjalankan pemerintahan TPI presiden ya ga mau tau
mixwell,mixwell67,presiden bisa mengutus menkeu nya untuk tdk memberikan tunjangan2 yg menyakiti rakyat. menteri di bawah presiden
RealDeal🔗,afirman_0,Orang DPR juga mayoritas 1 koalisi ama presiden😂
